NDVI,EVI,name,imageId
0.21480000000000002,0.11380000000000001,miryang,2003_01_17
0.2277,0.13340000000000002,jinju,2003_01_17
0.2901,0.1495,jeonju,2003_02_02
0.2773,0.1658,naju,2003_02_02
0.2767,0.1558,daegu,2003_02_02
0.1847,0.10500000000000001,suwon,2003_02_02
0.2144,0.1197,miryang,2003_02_02
0.21660000000000001,0.1149,jinju,2003_02_02
0.29560000000000003,0.1469,jeonju,2003_02_18
0.2793,0.1557,naju,2003_02_18
0.304,0.18150000000000002,daegu,2003_02_18
0.1653,0.0844,suwon,2003_02_18
0.2268,0.1333,miryang,2003_02_18
0.2371,0.1413,jinju,2003_02_18
0.3153,0.1799,jeonju,2003_03_06
0.2796,0.16440000000000002,naju,2003_03_06
0.2524,0.1368,daegu,2003_03_06
0.1715,0.0907,suwon,2003_03_06
0.2831,0.1741,miryang,2003_03_06
0.21730000000000002,0.1522,jinju,2003_03_06
0.2595,0.152,jeonju,2003_03_22
0.2831,0.1809,naju,2003_03_22
0.3118,0.1849,daegu,2003_03_22
0.1779,0.1033,suwon,2003_03_22
0.3015,0.17500000000000002,miryang,2003_03_22
0.2487,0.1676,jinju,2003_03_22
0.36760000000000004,0.232,jeonju,2003_04_07
0.3516,0.2323,naju,2003_04_07
0.3426,0.2023,daegu,2003_04_07
0.2454,0.1923,suwon,2003_04_07
0.3486,0.20550000000000002,miryang,2003_04_07
0.36260000000000003,0.2398,jinju,2003_04_07
0.4067,0.2899,jeonju,2003_04_23
0.3592,0.2233,naju,2003_04_23
0.4233,0.264,daegu,2003_04_23
0.2616,0.1421,suwon,2003_04_23
0.3715,0.2248,miryang,2003_04_23
0.4264,0.28700000000000003,jinju,2003_04_23
0.5842,0.49510000000000004,jeonju,2003_05_09
0.40290000000000004,0.275,naju,2003_05_09
0.4907,0.3236,daegu,2003_05_09
0.2154,0.12560000000000002,suwon,2003_05_09
0.3131,0.1952,miryang,2003_05_09
0.4319,0.2775,jinju,2003_05_09
0.546,0.4244,jeonju,2003_05_25
0.35200000000000004,0.24580000000000002,naju,2003_05_25
0.5959,0.403,daegu,2003_05_25
0.2893,0.1497,suwon,2003_05_25
0.2974,0.1794,miryang,2003_05_25
0.38020000000000004,0.2457,jinju,2003_05_25
0.5872,0.38720000000000004,jeonju,2003_06_10
0.446,0.30720000000000003,naju,2003_06_10
0.6628000000000001,0.44620000000000004,daegu,2003_06_10
0.45780000000000004,0.20500000000000002,suwon,2003_06_10
0.3129,0.196,miryang,2003_06_10
0.4544,0.2659,jinju,2003_06_10
0.0742,0.0965,jeonju,2003_06_26
0.6077,0.4083,naju,2003_06_26
0.0018000000000000002,0.003,daegu,2003_06_26
0.42810000000000004,0.23920000000000002,suwon,2003_06_26
0.0444,0.057800000000000004,miryang,2003_06_26
0.2619,0.18530000000000002,jinju,2003_06_26
0.6704,0.45880000000000004,jeonju,2003_07_12
0.4136,0.39730000000000004,naju,2003_07_12
0.2147,0.195,daegu,2003_07_12
0.5078,0.3388,suwon,2003_07_12
0.6433,0.4731,miryang,2003_07_12
0.4959,0.4156,jinju,2003_07_12
0.682,0.5335,jeonju,2003_07_28
0.7338,0.5004000000000001,naju,2003_07_28
0.731,0.4419,daegu,2003_07_28
0.6602,0.5056,suwon,2003_07_28
0.6217,0.5241,miryang,2003_07_28
0.7030000000000001,0.5678000000000001,jinju,2003_07_28
0.7598,0.625,jeonju,2003_08_13
0.6454000000000001,0.4742,naju,2003_08_13
0.2586,0.24760000000000001,daegu,2003_08_13
0.5422,0.3658,suwon,2003_08_13
0.5763,0.443,miryang,2003_08_13
0.6743,0.6268,jinju,2003_08_13
0.5385,0.38230000000000003,jeonju,2003_08_29
0.2912,0.29250000000000004,naju,2003_08_29
0.8115,0.553,daegu,2003_08_29
0.2089,0.18080000000000002,suwon,2003_08_29
0.6275000000000001,0.1968,miryang,2003_08_29
0.7106,0.4858,jinju,2003_08_29
0.6586000000000001,0.43270000000000003,jeonju,2003_09_14
0.5614,0.3544,naju,2003_09_14
0.6945,0.3952,daegu,2003_09_14
0.5244,0.3113,suwon,2003_09_14
0.5941000000000001,0.4419,miryang,2003_09_14
0.45830000000000004,0.2854,jinju,2003_09_14
0.6315000000000001,0.41050000000000003,jeonju,2003_09_30
0.5708,0.3991,naju,2003_09_30
0.5693,0.3032,daegu,2003_09_30
0.445,0.26680000000000004,suwon,2003_09_30
0.5044000000000001,0.3778,miryang,2003_09_30
0.33390000000000003,0.21660000000000001,jinju,2003_09_30
0.5344,0.3295,jeonju,2003_10_16
0.3451,0.19340000000000002,naju,2003_10_16
0.49460000000000004,0.2713,daegu,2003_10_16
0.3141,0.1686,suwon,2003_10_16
0.40230000000000005,0.27,miryang,2003_10_16
0.28950000000000004,0.1953,jinju,2003_10_16
0.44870000000000004,0.2237,jeonju,2003_11_01
0.41600000000000004,0.2288,naju,2003_11_01
0.4093,0.215,daegu,2003_11_01
0.2263,0.1206,suwon,2003_11_01
0.3035,0.1451,miryang,2003_11_01
0.2859,0.1577,jinju,2003_11_01
0.3799,0.1811,jeonju,2003_11_17
0.4576,0.2369,naju,2003_11_17
0.2933,0.1328,daegu,2003_11_17
0.183,0.1018,suwon,2003_11_17
0.28700000000000003,0.1383,miryang,2003_11_17
0.2962,0.19090000000000001,jinju,2003_11_17
0.322,0.1467,jeonju,2003_12_03
0.3269,0.1766,naju,2003_12_03
0.377,0.1796,daegu,2003_12_03
0.21030000000000001,0.1033,suwon,2003_12_03
0.2591,0.1268,miryang,2003_12_03
0.29550000000000004,0.1584,jinju,2003_12_03
0.2871,0.1369,jeonju,2003_12_19
0.326,0.16160000000000002,naju,2003_12_19
0.2308,0.1155,daegu,2003_12_19
0.19590000000000002,0.0984,suwon,2003_12_19
0.201,0.1017,miryang,2003_12_19
0.2988,0.1771,jinju,2003_12_19
0.2333,0.12610000000000002,jeonju,2004_01_01
0.28550000000000003,0.1569,naju,2004_01_01
0.21660000000000001,0.11570000000000001,daegu,2004_01_01
0.19590000000000002,0.0984,suwon,2004_01_01
0.24700000000000003,0.1578,miryang,2004_01_01
0.31,0.18730000000000002,jinju,2004_01_01
0.30410000000000004,0.1433,jeonju,2004_01_17
0.0328,0.039900000000000005,naju,2004_01_17
0.1847,0.0989,daegu,2004_01_17
0.0223,0.0275,suwon,2004_01_17
0.2348,0.1272,miryang,2004_01_17
0.2421,0.139,jinju,2004_01_17
0.2584,0.1371,jeonju,2004_02_02
0.2566,0.1452,naju,2004_02_02
0.3184,0.18050000000000002,daegu,2004_02_02
0.19290000000000002,0.1116,suwon,2004_02_02
0.2195,0.1139,miryang,2004_02_02
0.2308,0.12660000000000002,jinju,2004_02_02
0.314,0.1463,jeonju,2004_02_18
0.308,0.17370000000000002,naju,2004_02_18
0.2927,0.1495,daegu,2004_02_18
0.1913,0.093,suwon,2004_02_18
0.26,0.12890000000000001,miryang,2004_02_18
0.2497,0.1361,jinju,2004_02_18
0.33590000000000003,0.171,jeonju,2004_03_05
0.2833,0.15610000000000002,naju,2004_03_05
0.26180000000000003,0.1305,daegu,2004_03_05
0.2313,0.1325,suwon,2004_03_05
0.3054,0.1643,miryang,2004_03_05
0.22970000000000002,0.1355,jinju,2004_03_05
0.2637,0.1468,jeonju,2004_03_21
0.2889,0.1628,naju,2004_03_21
0.32020000000000004,0.16190000000000002,daegu,2004_03_21
0.1935,0.09770000000000001,suwon,2004_03_21
0.3239,0.2245,miryang,2004_03_21
0.30710000000000004,0.2228,jinju,2004_03_21
0.28900000000000003,0.18130000000000002,jeonju,2004_04_06
0.2763,0.1739,naju,2004_04_06
0.22990000000000002,0.1554,daegu,2004_04_06
0.19890000000000002,0.11280000000000001,suwon,2004_04_06
0.3194,0.20570000000000002,miryang,2004_04_06
0.2999,0.1933,jinju,2004_04_06
0.47340000000000004,0.3322,jeonju,2004_04_22
0.33330000000000004,0.2104,naju,2004_04_22
0.4373,0.29450000000000004,daegu,2004_04_22
0.2731,0.1385,suwon,2004_04_22
0.35660000000000003,0.2175,miryang,2004_04_22
0.369,0.252,jinju,2004_04_22
0.5074000000000001,0.3639,jeonju,2004_05_08
0.4272,0.2798,naju,2004_05_08
0.538,0.3876,daegu,2004_05_08
0.32070000000000004,0.1804,suwon,2004_05_08
0.3386,0.2235,miryang,2004_05_08
0.4022,0.272,jinju,2004_05_08
0.5485,0.4595,jeonju,2004_05_24
0.4293,0.2666,naju,2004_05_24
0.4429,0.2756,daegu,2004_05_24
0.3032,0.1837,suwon,2004_05_24
0.3315,0.1967,miryang,2004_05_24
0.4312,0.2735,jinju,2004_05_24
0.6033000000000001,0.47800000000000004,jeonju,2004_06_09
0.44430000000000003,0.3062,naju,2004_06_09
0.5047,0.3435,daegu,2004_06_09
0.3022,0.1728,suwon,2004_06_09
0.322,0.2039,miryang,2004_06_09
0.4359,0.2579,jinju,2004_06_09
0.7513000000000001,0.5439,jeonju,2004_06_25
0.6168,0.4315,naju,2004_06_25
0.7073,0.43760000000000004,daegu,2004_06_25
0.35400000000000004,0.1894,suwon,2004_06_25
0.5001,0.30260000000000004,miryang,2004_06_25
0.6221,0.4295,jinju,2004_06_25
0.8084,0.6826,jeonju,2004_07_11
0.7195,0.4922,naju,2004_07_11
0.7094,0.5472,daegu,2004_07_11
0.5806,0.3544,suwon,2004_07_11
0.6109,0.4597,miryang,2004_07_11
0.6353,0.41400000000000003,jinju,2004_07_11
0.6541,0.5224,jeonju,2004_07_27
0.7358,0.5265000000000001,naju,2004_07_27
0.7866000000000001,0.5839,daegu,2004_07_27
0.6709,0.43460000000000004,suwon,2004_07_27
0.6314000000000001,0.4572,miryang,2004_07_27
0.6164000000000001,0.458,jinju,2004_07_27
0.6721,0.4534,jeonju,2004_08_12
0.6719,0.4913,naju,2004_08_12
0.758,0.4596,daegu,2004_08_12
0.6089,0.41910000000000003,suwon,2004_08_12
0.6949000000000001,0.49260000000000004,miryang,2004_08_12
0.6885,0.5149,jinju,2004_08_12
0.6882,0.42660000000000003,jeonju,2004_08_28
0.5805,0.41910000000000003,naju,2004_08_28
0.788,0.4854,daegu,2004_08_28
0.5683,0.3819,suwon,2004_08_28
0.6225,0.4309,miryang,2004_08_28
0.6998000000000001,0.4869,jinju,2004_08_28
0.5813,0.3657,jeonju,2004_09_13
0.5626,0.3628,naju,2004_09_13
0.7299,0.4394,daegu,2004_09_13
0.6076,0.4258,suwon,2004_09_13
0.6318,0.4943,miryang,2004_09_13
0.5654,0.39030000000000004,jinju,2004_09_13
0.5221,0.31930000000000003,jeonju,2004_09_29
0.5847,0.3841,naju,2004_09_29
0.6421,0.33190000000000003,daegu,2004_09_29
0.5366000000000001,0.3321,suwon,2004_09_29
0.5535,0.3453,miryang,2004_09_29
0.5282,0.3577,jinju,2004_09_29
0.5691,0.37570000000000003,jeonju,2004_10_15
0.5169,0.3436,naju,2004_10_15
0.4927,0.2831,daegu,2004_10_15
0.31620000000000004,0.1874,suwon,2004_10_15
0.3864,0.26940000000000003,miryang,2004_10_15
0.29410000000000003,0.2101,jinju,2004_10_15
0.5414,0.31820000000000004,jeonju,2004_10_31
0.5014000000000001,0.34700000000000003,naju,2004_10_31
0.4431,0.2528,daegu,2004_10_31
0.251,0.1414,suwon,2004_10_31
0.3658,0.215,miryang,2004_10_31
0.3054,0.1827,jinju,2004_10_31
0.3808,0.21610000000000001,jeonju,2004_11_16
0.41200000000000003,0.22840000000000002,naju,2004_11_16
0.2837,0.1569,daegu,2004_11_16
0.2222,0.11950000000000001,suwon,2004_11_16
0.2722,0.1338,miryang,2004_11_16
0.2812,0.1512,jinju,2004_11_16
0.3382,0.166,jeonju,2004_12_02
0.48040000000000005,0.29610000000000003,naju,2004_12_02
0.26780000000000004,0.129,daegu,2004_12_02
0.23,0.13,suwon,2004_12_02
0.276,0.1427,miryang,2004_12_02
0.29960000000000003,0.1772,jinju,2004_12_02
0.2615,0.1275,jeonju,2004_12_18
0.3019,0.1658,naju,2004_12_18
0.35100000000000003,0.16,daegu,2004_12_18
0.2265,0.1168,suwon,2004_12_18
0.27590000000000003,0.1532,miryang,2004_12_18
0.2828,0.162,jinju,2004_12_18
0.2615,0.1275,jeonju,2005_01_01
0.3019,0.1658,naju,2005_01_01
0.2036,0.10740000000000001,daegu,2005_01_01
0.2023,0.11320000000000001,suwon,2005_01_01
0.2257,0.12610000000000002,miryang,2005_01_01
0.2828,0.162,jinju,2005_01_01
0.2716,0.14120000000000002,jeonju,2005_01_17
0.3018,0.17830000000000001,naju,2005_01_17
0.25070000000000003,0.12710000000000002,daegu,2005_01_17
0.21350000000000002,0.116,suwon,2005_01_17
0.2288,0.11950000000000001,miryang,2005_01_17
0.2696,0.15030000000000002,jinju,2005_01_17
0.26330000000000003,0.139,jeonju,2005_02_02
0.2536,0.13240000000000002,naju,2005_02_02
0.22560000000000002,0.1199,daegu,2005_02_02
0.19340000000000002,0.1034,suwon,2005_02_02
0.2358,0.132,miryang,2005_02_02
0.2654,0.1555,jinju,2005_02_02
0.22,0.1153,jeonju,2005_02_18
0.2651,0.1497,naju,2005_02_18
0.2519,0.1277,daegu,2005_02_18
0.1942,0.11410000000000001,suwon,2005_02_18
0.2627,0.15990000000000001,miryang,2005_02_18
0.2772,0.1623,jinju,2005_02_18
0.29610000000000003,0.1695,jeonju,2005_03_06
0.2558,0.15360000000000001,naju,2005_03_06
0.26280000000000003,0.1331,daegu,2005_03_06
0.1899,0.1057,suwon,2005_03_06
0.2691,0.14700000000000002,miryang,2005_03_06
0.2536,0.1439,jinju,2005_03_06
0.2565,0.1555,jeonju,2005_03_22
0.31270000000000003,0.2058,naju,2005_03_22
0.34490000000000004,0.2129,daegu,2005_03_22
0.1993,0.1164,suwon,2005_03_22
0.3052,0.21180000000000002,miryang,2005_03_22
0.31930000000000003,0.21450000000000002,jinju,2005_03_22
0.303,0.18660000000000002,jeonju,2005_04_07
0.38430000000000003,0.23290000000000002,naju,2005_04_07
0.42510000000000003,0.2378,daegu,2005_04_07
0.24650000000000002,0.1517,suwon,2005_04_07
0.3039,0.161,miryang,2005_04_07
0.3572,0.21730000000000002,jinju,2005_04_07
0.36960000000000004,0.2434,jeonju,2005_04_23
0.33590000000000003,0.21610000000000001,naju,2005_04_23
0.44630000000000003,0.3045,daegu,2005_04_23
0.2177,0.1232,suwon,2005_04_23
0.2973,0.17750000000000002,miryang,2005_04_23
