Feature ID,240607_NDVI,240607_NDRE,240607_GNDVI,240607_RVI,240607_CVI,240607_NGRDI,240607_GLI,240607_VARI,240607_BI,240607_CI,240607_RI,240607_CIRE,240607_GI,240607_TVI,240607_CIG
60,0.25925493,0.13249086,0.5312469,1.6999842,6.2770724,-0.31543645,-0.108428106,-0.3910455,0.10157737,0.31543645,55.67998,0.30545115,1.9215696,6.0125027,-0.69387484
60,0.26486364,0.11965317,0.5248571,1.7205838,5.9859624,-0.3019723,-0.08869786,-0.36957535,0.10240752,0.3019723,50.83973,0.27183187,1.8652158,6.047303,-0.6884017
60,0.25479686,0.122563645,0.5078083,1.6838319,5.5734625,-0.29061338,-0.074441575,-0.35362607,0.11607972,0.29061338,41.859398,0.27936757,1.8193371,6.5266304,-0.67357147
60,0.22653416,0.12226006,0.49163505,1.5857638,5.429195,-0.2983261,-0.08551931,-0.3654826,0.12706403,0.2983261,40.073074,0.27857924,1.850327,6.6100016,-0.65918946
60,0.21042049,0.10679596,0.49379268,1.5329938,5.680459,-0.31622976,-0.10794787,-0.3909585,0.1387504,0.31622976,40.96332,0.23913002,1.9249592,7.0591774,-0.66112614
60,0.21139252,0.13074294,0.5049021,1.5361159,6.0146513,-0.32857978,-0.13579988,-0.42025584,0.13108991,0.32857978,46.82586,0.30081534,1.9787605,6.821924,-0.6710099
60,0.20288193,0.115343414,0.47409838,1.5090386,5.2064724,-0.30007994,-0.086546995,-0.36707512,0.119830854,0.30007994,42.948597,0.26076424,1.8574692,5.793597,-0.6432384
60,0.23069458,0.12359414,0.47460508,1.5997477,4.9241166,-0.2738995,-0.09650944,-0.36243162,0.1142605,0.2738995,38.467365,0.28204775,1.7544396,5.78257,-0.6437047
60,0.280511,0.15613993,0.53041357,1.7797506,5.96798,-0.293584,-0.0911841,-0.367613,0.09584642,0.293584,51.61608,0.37006116,1.831193,5.8704605,-0.6931637
60,0.30223376,0.16287267,0.55823857,1.8662894,6.666737,-0.30796406,-0.09403464,-0.37635243,0.08815123,0.30796406,61.270718,0.38912284,1.8900234,5.8939085,-0.71649945
60,0.2845953,0.121675,0.5492762,1.7956203,6.579945,-0.3137225,-0.096467555,-0.38071272,0.096241176,0.3137225,58.14757,0.27706146,1.9142729,6.1439323,-0.7090746
60,0.305082,0.15591514,0.5576374,1.8780373,6.601942,-0.3043295,-0.09098324,-0.3723891,0.08860462,0.3043295,59.61306,0.36943007,1.8749243,5.946885,-0.71600413
60,0.25129634,0.13786142,0.49599057,1.6712838,5.27145,-0.2795357,-0.06831781,-0.3435602,0.10813185,0.2795357,42.03891,0.31981266,1.7759877,5.9068127,-0.66309315
60,0.24606307,0.13458905,0.4999989,1.6527418,5.445464,-0.28956085,-0.08459394,-0.36058265,0.10538834,0.28956085,45.81357,0.31104076,1.8151603,5.7533903,-0.6666657
60,0.23449458,0.12403859,0.49917677,1.612653,5.5564294,-0.29977173,-0.09498534,-0.37346664,0.10790572,0.29977173,47.605457,0.28320563,1.8562114,5.7710924,-0.6659345
60,0.25770846,0.124509886,0.52149683,1.6943591,5.9671497,-0.30474418,-0.09198842,-0.37334803,0.099687405,0.30474418,53.12031,0.28443468,1.876639,5.7803974,-0.685505
60,0.2593212,0.13487433,0.52137446,1.7002258,5.942564,-0.30302298,-0.089394525,-0.37058443,0.09788834,0.30302298,53.529587,0.31180286,1.8695351,5.6900635,-0.68539923
60,0.2661519,0.13268135,0.5311299,1.7253596,6.1807237,-0.3086024,-0.09909396,-0.38061237,0.10011435,0.3086024,54.161316,0.30595756,1.8926916,5.993889,-0.69377506
60,0.27272442,0.13330923,0.5306666,1.7499892,6.0780296,-0.30158997,-0.093353495,-0.3729962,0.1025615,0.30158997,50.644974,0.30762815,1.8636473,6.2032795,-0.6933797
60,0.26130992,0.11258455,0.50962013,1.7074953,5.5502253,-0.28645745,-0.07917752,-0.35497582,0.10990473,0.28645745,43.11616,0.2537359,1.8029163,6.2677975,-0.6751634
60,0.20608258,0.09581726,0.45316565,1.5191537,4.6485443,-0.27253503,-0.067019664,-0.33885205,0.14172603,0.27253503,30.761772,0.2119422,1.7492732,6.5947,-0.6236944
